"entity","device","lat_lng"
"VDC","VDC38329","13.5408283333333319 , 100.28535500000001"
"VDC","VDC38351","12.7508633333333332 , 99.9581000000000159"
"VDC","VDC38379","0 , 0"
"VDC","VDC38381","16.1303216666666671 , 101.04441833333334"
"VDC","VDC38617","0 , 0"
"VDC","VDC38729","16.4490016666666676 , 101.269989999999993"
"VDC","VDC38730","0 , 0"
"VDC","VDC38733","16.0421399999999998 , 101.196245000000005"
"VDC","VDC38737","0 , 0"
"VDC","VDC38740","0 , 0"
"VDC","VDC38744","0 , 0"
"VDC","VDC38751","0 , 0"
"VDC","VDC38792","0 , 0"
"VDC","VDC38822","0 , 0"
"VDC","VDC38895","0 , 0"
"VDC","VDC38899","0 , 0"
"VDC","VDC38928","0 , 0"
"VDC","VDC38932","14.8154616666666659 , 100.68886333333333"
"VDC","VDC38938","0 , 0"
"VDC","VDC38943","0 , 0"
"VDC","VDC38964","16.3930833333333332 , 101.117266666666666"
"VDC","VDC38966","0 , 0"
"VDC","VDC39046","0 , 0"
"VDC","VDC39065","0 , 0"
"VDC","VDC39118","0 , 0"
"VDC","VDC39131","0 , 0"
"VDC","VDC3915","0 , 0"
"VDC","VDC39160","0 , 0"
"VDC","VDC39189","13.3730716666666662 , 101.010111666666674"
"VDC","VDC39194","16.4612633333333314 , 100.357541666666663"
"VDC","VDC39197","14.5728449999999992 , 100.988816666666665"
"VDC","VDC39208","0 , 0"
"VDC","VDC39213","0 , 0"
"VDC","VDC39219","8.10809499999999872 , 98.9371316666666587"
"VDC","VDC39223","18.5538833333333315 , 98.8490683333333493"
"VDC","VDC39228","0 , 0"
"VDC","VDC39232","14.6214099999999991 , 103.838093333333319"
"VDC","VDC39234","0 , 0"
"VDC","VDC39236","8.43335166666666503 , 99.9418550000000039"
"VDC","VDC39242","14.0656050000000015 , 100.625205000000008"
"VDC","VDC39245","7.544011666666667 , 99.6169966666666653"
"VDC","VDC39246","0 , 0"
"VDC","VDC39426","0 , 0"
"VDC","VDC39430","14.7936883333333338 , 100.648453333333322"
"VDC","VDC39627","0 , 0"
"VDC","VDC39696","8.6580833333333338 , 99.3686616666666538"
"VDC","VDC39717","17.6243516666666657 , 100.083886666666658"
"VDC","VDC3972","0 , 0"
"VDC","VDC39799","14.0292350000000017 , 100.228853333333333"
"VDC","VDC39857","17.638541666666665 , 100.084689999999981"
"VDC","VDC39981","0 , 0"
"VDC","VDC40057","0 , 0"
"VDC","VDC40069","0 , 0"
"VDC","VDC40070","0 , 0"
"VDC","VDC40116","0 , 0"
"VDC","VDC40132","0 , 0"
"VDC","VDC40157","0 , 0"
"VDC","VDC40240","0 , 0"
"VDC","VDC40337","14.7968416666666673 , 100.636285000000015"
"VDC","VDC40347","0 , 0"
"VDC","VDC40384","0 , 0"
"VDC","VDC40389","14.883898333333331 , 100.926135000000002"
"VDC","VDC40452","15.1364466666666662 , 100.545938333333325"
"VDC","VDC40505","6.73725166666666642 , 101.12180833333332"
"VDC","VDC40519","0 , 0"
"VDC","VDC40526","0 , 0"
"VDC","VDC40531","0 , 0"
"VDC","VDC40558","0 , 0"
"VDC","VDC40671","0 , 0"
"VDC","VDC40695","0 , 0"
"VDC","VDC40729","0 , 0"
"VDC","VDC40783","0 , 0"
"VDC","VDC40993","0 , 0"
"VDC","VDC41045","0 , 0"
"VDC","VDC41093","0 , 0"
"VDC","VDC411","0 , 0"
"VDC","VDC41100","0 , 0"
"VDC","VDC4129","0 , 0"
"VDC","VDC41394","0 , 0"
"VDC","VDC41402","0 , 0"
"VDC","VDC41523","0 , 0"
"VDC","VDC41525","0 , 0"
"VDC","VDC41550","0 , 0"
"VDC","VDC41564","0 , 0"
"VDC","VDC41576","0 , 0"
"VDC","VDC41587","0 , 0"
"VDC","VDC41658","0 , 0"
"VDC","VDC41660","0 , 0"
"VDC","VDC41665","0 , 0"
"VDC","VDC41778","0 , 0"
"VDC","VDC41834","0 , 0"
"VDC","VDC41849","0 , 0"
"VDC","VDC41868","14.8364483333333315 , 100.909984999999992"
"VDC","VDC41874","16.8363800000000019 , 100.237973333333315"
"VDC","VDC41877","0 , 0"
"VDC","VDC41898","0 , 0"
"VDC","VDC41899","9.9785733333333333 , 99.0666333333333284"
