"entity","device","service_product","count"
"VDC","VDC55006","DTACPROSERM",152
"VDP","VFE1783","เป๊ปซี่ สลิม 245 มล.",152
"VDP","VFE1783","น้ำแร่ อุลตร้าแมน ขนาด 500 มล.",152
"VDP","VFE1783","น้ำดื่ม อุลตร้าแมน ขนาด 500ml.",152
"VDP","VFE1783","โค้ก-สลิม",152
"VDP","VFE1783","คาราบาวแดง",152
"VDC","VDC35765","TRUE",151
"VDC","VDC35765","TMNTOPUP",151
"VDC","VDC35765","SCBDEPOSIT",151
"VDC","VDC35765","PEA",151
"VDC","VDC35765","MYCAT",151
"VDC","VDC35765","KTBDEPOSIT",151
"VDC","VDC35765","KBANKDEPOSIT",151
"VDC","VDC35765","GSBDEPOSITONLINE",151
"VDC","VDC35765","GSBDEPOSIT",151
"VDC","VDC35765","DTAC",151
"VDC","VDC35765","AIS",151
"VDP","VFE2328","คาราบาวแดง",147
"VDC","VDC11164","TRUE",145
"VDC","VDC11164","TMNEPIN",145
"VDC","VDC11164","TRUEPROSERM",145
"VDC","VDC11164","SCBDEPOSIT",145
"VDC","VDC11164","KTBDEPOSIT",145
"VDC","VDC11164","KBANKDEPOSIT",145
"VDC","VDC11164","DTACPROSERM",145
"VDC","VDC11164","GSBDEPOSITONLINE",145
"VDC","VDC11164","DTAC",145
"VDC","VDC11164","AISPROSERM",145
"VDC","VDC11164","AIS",145
"VDC","VDC11164","GSBDEPOSIT",145
"VDC","VDC11164","TMNTOPUP",145
"VDC","VDC47564","KTBDEPOSIT",144
"VDP","VFE148","เบอร์ดี้โรบัสต้า 180 มล.",144
"VDC","VDC47564","AIS",144
"VDC","VDC47564","AISPROSERM",144
"VDC","VDC47564","DTAC",144
"VDC","VDC47564","SCBDEPOSIT",144
"VDC","VDC47564","TMNTOPUP",144
"VDC","VDC47564","TRUE",144
"VDP","VFE2482","เมจิกฟาร์ม มะพร้าว",140
"VDP","VFS1032","มาม่า คัพ หมูสับ",140
"VDP","VFE2482","เป๊ปซี่ สลิม 245 มล.",140
"VDP","VFE2482","โวลต์ กาแฟอีนและซิงค์ 215 มล.",140
"VDP","VFE2482","บิ๊กกรีนที น้ำผึ้งผสมมะนาว",140
"VDP","VFE2482","เนสกาแฟ เอสเปรสโซ",140
"VDP","VFS1614","มาม่า คัพ ต้มยำกุ้ง",140
"VDP","VFE2482","น้ำดื่ม อุลตร้าแมน ขนาด 500ml.",140
"VDP","VFS1614","โค้ก (ขวด)",140
"VDP","VFE2482","โค้ก-สลิม",140
"VDP","VFE2482","611 น้ำวิตามินซี (Six.Eleven)",140
"VDP","VFE1916","น้ำแร่ อุลตร้าแมน ขนาด 500 มล.",140
